================ Training Loss (Fri Feb  1 06:04:15 2019) ================
(epoch: 145, iters: 40, time: 1.386, data: 0.002) D_A: 0.079 G_A: 0.560 cycle_A: 0.974 idt_A: 0.495 D_B: 0.064 G_B: 1.015 cycle_B: 1.453 idt_B: 0.346 
(epoch: 148, iters: 20, time: 1.399, data: 0.443) D_A: 0.168 G_A: 0.642 cycle_A: 0.622 idt_A: 0.514 D_B: 0.094 G_B: 0.515 cycle_B: 1.256 idt_B: 0.201 
(epoch: 150, iters: 40, time: 3.107, data: 0.002) D_A: 0.235 G_A: 0.219 cycle_A: 0.533 idt_A: 0.437 D_B: 0.044 G_B: 0.268 cycle_B: 0.943 idt_B: 0.194 
(epoch: 153, iters: 20, time: 1.389, data: 0.365) D_A: 0.152 G_A: 1.016 cycle_A: 0.684 idt_A: 0.448 D_B: 0.075 G_B: 0.246 cycle_B: 1.107 idt_B: 0.264 
(epoch: 155, iters: 40, time: 1.389, data: 0.002) D_A: 0.058 G_A: 0.503 cycle_A: 0.792 idt_A: 0.456 D_B: 0.126 G_B: 1.386 cycle_B: 1.415 idt_B: 0.296 
(epoch: 158, iters: 20, time: 1.389, data: 0.413) D_A: 0.137 G_A: 0.904 cycle_A: 0.586 idt_A: 0.346 D_B: 0.112 G_B: 0.757 cycle_B: 0.875 idt_B: 0.221 
(epoch: 160, iters: 40, time: 3.128, data: 0.002) D_A: 0.173 G_A: 0.919 cycle_A: 0.672 idt_A: 0.187 D_B: 0.116 G_B: 0.532 cycle_B: 0.566 idt_B: 0.265 
(epoch: 163, iters: 20, time: 1.389, data: 0.523) D_A: 0.114 G_A: 0.486 cycle_A: 0.779 idt_A: 0.358 D_B: 0.099 G_B: 0.340 cycle_B: 1.041 idt_B: 0.374 
(epoch: 165, iters: 40, time: 1.391, data: 0.002) D_A: 0.073 G_A: 0.726 cycle_A: 0.510 idt_A: 0.456 D_B: 0.072 G_B: 0.698 cycle_B: 1.072 idt_B: 0.262 
(epoch: 168, iters: 20, time: 1.388, data: 0.367) D_A: 0.247 G_A: 0.153 cycle_A: 0.660 idt_A: 0.328 D_B: 0.068 G_B: 0.730 cycle_B: 0.804 idt_B: 0.211 
(epoch: 170, iters: 40, time: 3.315, data: 0.002) D_A: 0.100 G_A: 0.220 cycle_A: 0.603 idt_A: 0.420 D_B: 0.057 G_B: 0.655 cycle_B: 1.009 idt_B: 0.234 
